osm_id,lat,lon,levels,height_tag,building_type,area_m2,perimeter_m,compactness,rectangularity,elongation,long_side_m,short_side_m,n_vertices,has_name,dsm_height_m
173435222,12.973646,77.616656,6,,commercial,1646.7,233.9,0.3781,0.4888,0.7766,65.9,51.1,8,0,
173564836,12.999224,77.627198,7,,residential,2189.9,241.7,0.4711,0.9835,0.2262,99.2,22.4,4,1,
174496298,12.966226,77.596286,4,,commercial,3011.0,222.2,0.7662,0.9987,0.7283,64.3,46.9,5,1,
174496366,12.966519,77.596252,6,,commercial,401.4,97.5,0.5312,1.0,0.2748,38.2,10.5,4,1,
174599808,12.996473,77.618954,4,,other,657.2,111.9,0.6593,0.9979,0.427,39.3,16.8,4,1,
176774250,12.958993,77.746987,2,,residential,562.9,110.6,0.5788,0.7359,0.9796,27.9,27.4,18,1,
177929894,12.979621,77.72836,3,,commercial,7540.0,603.4,0.2603,0.3844,0.9397,144.5,135.8,38,1,
181282746,12.975335,77.726619,4,,commercial,2349.5,194.0,0.7846,0.9999,0.938,50.1,46.9,4,0,
181284242,12.97726,77.728415,4,,commercial,2367.5,198.2,0.7572,0.9996,0.6814,59.0,40.2,4,0,
181284243,12.976522,77.730159,10,,civic,3209.3,266.9,0.566,0.9995,0.3083,102.1,31.5,4,0,
181331893,12.981805,77.726857,7,,commercial,3526.1,246.8,0.7277,0.8877,0.5578,84.4,47.1,8,0,
181331914,12.980597,77.726664,7,,commercial,3595.5,243.3,0.763,0.9489,0.8011,68.8,55.1,14,1,
181331915,12.982294,77.723964,8,,commercial,16765.8,708.2,0.4201,0.7415,0.4396,226.8,99.7,10,0,
181455074,12.978207,77.725304,6,,commercial,2252.7,235.1,0.5121,0.9999,0.2579,93.5,24.1,4,1,
181455075,12.976992,77.725582,5,,commercial,679.7,104.7,0.7786,0.9997,0.8296,28.6,23.8,4,0,
181455077,12.977283,77.725201,6,,commercial,1850.2,246.4,0.3829,0.9995,0.1656,105.7,17.5,5,1,
181455080,12.977882,77.72532,6,,commercial,1792.9,199.7,0.5652,0.9998,0.3075,76.4,23.5,4,1,
181464984,12.980048,77.724344,3,,commercial,1046.8,152.0,0.5692,0.9998,0.3117,58.0,18.1,4,1,
181464985,12.977271,77.722739,5,,commercial,1212.4,198.6,0.3862,0.638,0.9351,45.1,42.2,40,0,
181466406,12.976974,77.718576,4,,commercial,829.7,126.8,0.6483,0.8595,0.4681,45.4,21.3,7,0,
181466422,12.976058,77.717724,4,,commercial,1060.5,146.4,0.6221,0.9992,0.3736,53.3,19.9,5,0,
181695471,12.973673,77.717474,5,,commercial,3630.2,252.9,0.7135,0.9379,0.6951,74.6,51.9,9,0,
181695490,12.979368,77.715666,3,,commercial,7195.3,493.5,0.3712,0.5849,0.9932,111.3,110.5,31,1,
181695501,12.973742,77.715977,4,,commercial,2416.1,189.5,0.8453,0.8311,0.9188,56.3,51.7,14,1,
181699271,12.984163,77.728272,5,,commercial,3938.8,251.1,0.7853,0.9939,0.9741,63.8,62.1,4,0,
181699277,12.985772,77.72726,6,,commercial,1904.1,205.1,0.5687,0.6476,0.5772,71.4,41.2,31,0,
181699286,12.985575,77.727624,6,,commercial,2685.2,208.0,0.7796,0.9951,0.8386,56.7,47.6,7,1,
181699290,12.9849,77.726862,4,,commercial,3688.3,371.2,0.3364,0.4089,0.8104,105.5,85.5,10,0,
181699298,12.986566,77.730965,5,,commercial,3591.9,254.0,0.6997,0.8517,0.6261,82.1,51.4,12,0,
182038134,12.985648,77.740067,10,,commercial,2021.0,203.7,0.6118,0.7993,0.7221,59.2,42.7,8,1,
182038135,12.986543,77.740169,9,,commercial,3686.7,271.4,0.6292,0.6732,0.7479,85.6,64.0,9,1,
182146605,13.004508,77.620587,4,,residential,506.0,95.5,0.6974,0.9972,0.4974,31.9,15.9,4,1,
182175820,12.991272,77.658341,7,,commercial,1869.8,208.3,0.5414,0.829,0.4166,73.6,30.7,10,1,
182486247,12.971214,77.607322,8,,commercial,989.3,155.0,0.5174,0.8686,0.2926,62.4,18.3,4,1,
182486682,12.976217,77.601874,3,,commercial,597.3,129.1,0.4504,0.9211,0.2334,52.7,12.3,9,1,
182651235,12.994628,77.66067,6,,commercial,2836.2,236.6,0.6369,0.8177,0.6692,72.0,48.2,8,1,
182651236,12.994224,77.661505,5,,commercial,3220.1,239.2,0.7074,0.8578,0.7568,70.4,53.3,11,1,
182651237,12.994001,77.660044,6,,commercial,2713.6,229.5,0.6474,0.8822,0.5644,73.8,41.7,6,1,
